Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Köln,Heumarkt,25.01.2025,11:55 Uhr,50.93,6.95,https://web.archive.org/web/20250121194341/https://www.t-online.de/region/koeln/id_100575496/koeln-demo-gegen-afd-am-25-januar-geplant-prominente-unterstuetzer.html,"<a href=""https://web.archive.org/web/20250121194341/https://www.t-online.de/region/koeln/id_100575496/koeln-demo-gegen-afd-am-25-januar-geplant-prominente-unterstuetzer.html"">Link</a>"
Düsseldorf,DGB-Haus,15.02.2025,12 Uhr,51.24,6.8,https://web.archive.org/web/20250121194821/https://duesseldorf-stellt-sich-quer.de/gegen-die-afd-und-die-rechtsentwicklung-der-gesellschaft/,"<a href=""https://web.archive.org/web/20250121194821/https://duesseldorf-stellt-sich-quer.de/gegen-die-afd-und-die-rechtsentwicklung-der-gesellschaft/"">Link</a>"
Moers,Am Kastell,25.02.2025,11:55 Uhr,51.45,6.62,https://web.archive.org/web/20250121195638/https://www.radiokw.de/artikel/moers-ist-bunt-nicht-braun-plant-demo-am-samstag-2216980.html,"<a href=""https://web.archive.org/web/20250121195638/https://www.radiokw.de/artikel/moers-ist-bunt-nicht-braun-plant-demo-am-samstag-2216980.html"">Link</a>"
Gießen,Berliner Platz,08.02.2025,14:30 Uhr,50.57,8.72,https://www.giessener-anzeiger.de/stadt-giessen/giessen-demo-will-sich-rechtsruck-widersetzen-93514971.html,"<a href=""https://www.giessener-anzeiger.de/stadt-giessen/giessen-demo-will-sich-rechtsruck-widersetzen-93514971.html"">Link</a>"
Wetzlar,Bahnhofstraße,08.02.2025,11 Uhr,50.56,8.51,https://web.archive.org/web/20250121200910/https://www.mittelhessen.de/lokales/lahn-dill-kreis/wetzlar/demonstration-gegen-rassismus-und-hetze-in-wetzlar-geplant-4298971,"<a href=""https://web.archive.org/web/20250121200910/https://www.mittelhessen.de/lokales/lahn-dill-kreis/wetzlar/demonstration-gegen-rassismus-und-hetze-in-wetzlar-geplant-4298971"">Link</a>"
Bielefeld,Jahnplatz,07.02.2025,17 Uhr,52.02,8.53,https://web.archive.org/web/20250121201140/https://www.nw.de/lokal/bielefeld/mitte/24025312_Bielefelder-Buendnis-gegen-Rechts-ruft-vor-Bundestagswahl-zu-Grossdemo-auf.html,"<a href=""https://web.archive.org/web/20250121201140/https://www.nw.de/lokal/bielefeld/mitte/24025312_Bielefelder-Buendnis-gegen-Rechts-ruft-vor-Bundestagswahl-zu-Grossdemo-auf.html"">Link</a>"
Nordhorn,Innenstadt,25.01.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,01.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,15.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
Nordhorn,Innenstadt,22.02.2025,11:55 Uhr,52.43,7.06,https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/,"<a href=""https://web.archive.org/web/20250122145753/https://omasgegenrechts-nord.de/events/grafschaft-bentheim-spaziergang-gegen-rechts-in-der-nordhorner-innenstadt-2/"">Link</a>"
